Age,Income_Level,Occupation,Mobile_App_Usage,Fintech_Disruption,Compliance_Costs,Regulatory_Risks,Regulatory_Changes,Service_Quality,Market_Share,Brand_Reputation,Cost_Income_Ratio,Credit_Risk,Capital_Adequacy,Strategic_Alliances
56,63723.77797,Teacher,0.7732515,-0.053533509,358473.2808,-51825.26389,1,3.276399345,0.305962019,-1.064465539,0.555481459,0.372001873,0.118849185,-0.997091124
69,43222.13907,Teacher,0.823130015,0.035845362,521853.4042,132527.609,1,0.540024197,0.133754199,0.381717851,0.574261073,0.477880779,0.009779614,0.358456966
46,61535.31872,Student,0.66380511,-0.073095628,600947.1789,82711.54286,,0.567513461,0.240851834,-0.161938147,0.570499729,0.40465757,0.054942997,-1.221669602
32,46249.89372,Unemployed,0.650084447,0.075792185,415505.8561,15797.43123,1,0.595227772,0.149139407,1.113193125,0.590251477,0.54519062,0.063735726,0.0138302
60,43058.54046,Student,0.419894227,0.068550774,350098.404,-127191.9001,,1.407299707,0.168029698,-0.064912733,0.658739339,0.481106843,0.036068165,-1.437487296
25,51098.60073,Doctor,0.54573262,0.184860883,490815.5236,21139.65675,,0.407810015,0.16915837,0.842513108,0.525356364,0.528347848,0.105304136,1.327990588
78,53424.56918,Teacher,0.521221625,-0.017556395,491256.4671,106265.7291,0,0.816221873,0.222396534,-0.692814608,0.718100053,0.577417952,0.096295867,-0.311222119
38,69115.29607,Doctor,0.53791524,0.06686548,554831.9628,-37563.36658,1,-1.058568278,0.21623184,-0.435142209,0.47748165,0.453978574,0.171185366,-0.69356851
56,53195.37579,nan,0.583185618,0.009806754,594959.4571,135111.409,1,0.983923537,0.139920459,0.009524158,0.661511886,0.457551568,0.043966222,-1.145738283
75,51932.78062,Engineer,0.552790942,0.129587178,494058.4819,129274.529,,-0.236760558,0.22199757,-0.146976982,0.764327133,0.496296282,0.111737419,-1.24198536
36,65961.42944,Engineer,0.402070019,-0.071883239,685550.3315,166373.2832,0,0.671742482,0.189794544,-0.240365032,0.582264345,0.413950373,0.055995501,0.436410239
40,56010.53944,Student,0.674791026,0.074500531,522423.4745,30524.31265,0,-1.715119955,0.108972356,-0.872114553,0.619346537,0.498878701,0.014142995,1.00380189
28,43557.2482,Unemployed,0.492725697,-0.01946973,465357.3494,58739.16998,1,0.630179592,0.178298387,-1.585562046,0.503202761,0.504156279,0.129390193,0.903732784
28,63559.70385,Doctor,0.623924686,-0.006418818,338843.2641,141418.7288,,-2.241896355,0.283021343,0.631016572,0.548821828,0.522894022,0.133529947,1.396591563
41,42603.81231,Unemployed,0.807408267,0.009175248,473734.048,44739.39371,1,-0.27591547,0.179985936,0.519260354,0.756767854,0.541955044,0.127605934,1.748180458
70,43507.52722,Student,0.508061541,0.02522404,466361.3055,-50123.41078,1,-1.705551591,0.108223159,-0.613869223,0.674848229,0.339688374,0.034175193,0.957926865
53,41514.79301,Engineer,0.346971248,-0.011622904,596030.4796,-44854.28365,1,0.633036726,0.240723337,0.378883788,0.641854432,0.37148785,0.104179368,-0.502892859
57,40637.54972,Unemployed,0.571399578,0.021471318,546248.3624,23855.49538,1,0.069269881,0.153624491,-0.166446009,0.406202545,0.383281575,0.129868024,0.169481047
41,53331.73295,Unemployed,0.710095963,0.157811806,382063.0878,-129056.1422,,-0.770787403,0.210721447,1.106171752,0.52835271,0.5092608,0.147608011,-2.256965384
20,47420.97835,Engineer,0.795834745,0.098544969,517225.4386,-14325.89154,0,1.434408045,0.191400675,-1.312259593,0.773899181,0.471562414,0.131414736,0.637580138
39,15218.30786,Doctor,0.477045041,0.086915459,567153.1172,109654.7118,1,-0.896666494,0.288083512,-0.126726342,0.641083196,0.273227543,0.148256706,0.14926551
70,47317.36938,Engineer,0.649669922,-0.045553953,652803.1359,-219125.3851,1,-3.031193832,0.191435834,-0.206546734,0.65355954,0.694704481,0.153368992,1.595228046
19,44820.87744,Unemployed,0.553468954,-0.088924083,588750.3967,153448.2102,1,0.513635034,0.142770536,0.161115959,0.617055515,0.301103093,0.105243252,-0.743359262
